S|1|ADORWELD|EQ|09:00:00|1527.44068|8
S|2|ADORWELD|EQ|09:00:01|1535.75947|7
B|3|ADORWELD|EQ|09:00:02|1530.13817|6
S|4|ADORWELD|EQ|09:00:03|1527.24416|2
B|5|ADORWELD|EQ|09:00:04|1521.18274|8
B|6|ADORWELD|EQ|09:00:05|1532.29471|4
B|7|ADORWELD|EQ|09:00:06|1521.87936|3
B|8|ADORWELD|EQ|09:00:07|1544.58865|5
B|9|ADORWELD|EQ|09:00:08|1548.18314|2
S|10|ADORWELD|EQ|09:00:09|1519.17208|3
S|11|ADORWELD|EQ|09:00:10|1539.58625|8
S|12|ADORWELD|EQ|09:00:11|1526.44475|3
S|13|ADORWELD|EQ|09:00:12|1528.40223|2
B|14|ADORWELD|EQ|09:00:13|1546.27983|6
B|15|ADORWELD|EQ|09:00:14|1503.5518|8
B|16|ADORWELD|EQ|09:00:15|1504.35646|7
B|17|ADORWELD|EQ|09:00:16|1501.01092|4
S|18|ADORWELD|EQ|09:00:17|1541.63099|5
B|19|ADORWELD|EQ|09:00:18|1538.90784|5
B|20|ADORWELD|EQ|09:00:19|1543.50061|4
B|21|ADORWELD|EQ|09:00:20|1548.93092|4
B|22|ADORWELD|EQ|09:00:21|1539.95793|8
B|23|ADORWELD|EQ|09:00:22|1523.07397|2
S|24|ADORWELD|EQ|09:00:23|1539.02646|4
S|25|ADORWELD|EQ|09:00:24|1505.91372|5
B|26|ADORWELD|EQ|09:00:25|1531.99605|4
B|27|ADORWELD|EQ|09:00:26|1507.16766|4
B|28|ADORWELD|EQ|09:00:27|1547.23345|3
B|29|ADORWELD|EQ|09:00:28|1526.09242|4
S|30|ADORWELD|EQ|09:00:29|1520.7331|6
B|31|ADORWELD|EQ|09:00:30|1513.22778|3
B|32|ADORWELD|EQ|09:00:31|1538.71168|9
B|33|ADORWELD|EQ|09:00:32|1522.80752|7
B|34|ADORWELD|EQ|09:00:33|1528.4217|6
S|35|ADORWELD|EQ|09:00:34|1500.93949|1
B|36|ADORWELD|EQ|09:00:35|1530.88177|8
B|37|ADORWELD|EQ|09:00:36|1530.60479|5
S|38|ADORWELD|EQ|09:00:37|1530.8467|6
S|39|ADORWELD|EQ|09:00:38|1547.1874|2
B|40|ADORWELD|EQ|09:00:39|1534.09101|5
B|41|ADORWELD|EQ|09:00:40|1517.9754|5
B|42|ADORWELD|EQ|09:00:41|1521.8516|3
B|43|ADORWELD|EQ|09:00:42|1534.88156|2
B|44|ADORWELD|EQ|09:00:43|1503.01127|6
B|45|ADORWELD|EQ|09:00:44|1533.33834|7
S|46|ADORWELD|EQ|09:00:45|1533.53189|1
B|47|ADORWELD|EQ|09:00:46|1510.51913|5
B|48|ADORWELD|EQ|09:00:47|1506.44631|5
S|49|ADORWELD|EQ|09:00:48|1515.77142|1
B|50|ADORWELD|EQ|09:00:49|1518.18554|8
B|51|ADORWELD|EQ|09:00:50|1528.50984|6
B|52|ADORWELD|EQ|09:00:51|1521.93008|6
B|53|ADORWELD|EQ|09:00:52|1549.41869|1
S|54|ADORWELD|EQ|09:00:53|1505.10224|8
B|55|ADORWELD|EQ|09:00:54|1510.44384|4
B|56|ADORWELD|EQ|09:00:55|1508.06548|5
B|57|ADORWELD|EQ|09:00:56|1532.65542|1
B|58|ADORWELD|EQ|09:00:57|1512.66458|2
B|59|ADORWELD|EQ|09:00:58|1523.31554|8
B|60|ADORWELD|EQ|09:00:59|1512.22128|8
S|61|ADORWELD|EQ|09:01:00|1507.94848|9
B|62|ADORWELD|EQ|09:01:01|1505.51876|6
S|63|ADORWELD|EQ|09:01:02|1532.81648|4
S|64|ADORWELD|EQ|09:01:03|1506.90915|4
S|65|ADORWELD|EQ|09:01:04|1509.82912|3
B|66|ADORWELD|EQ|09:01:05|1518.43626|2
S|67|ADORWELD|EQ|09:01:06|1541.04966|2
S|68|ADORWELD|EQ|09:01:07|1504.85506|7
B|69|ADORWELD|EQ|09:01:08|1541.89725|4
B|70|ADORWELD|EQ|09:01:09|1504.80492|6
B|71|ADORWELD|EQ|09:01:10|1548.82297|6
B|72|ADORWELD|EQ|09:01:11|1523.43256|6
S|73|ADORWELD|EQ|09:01:12|1548.83805|1
S|74|ADORWELD|EQ|09:01:13|1530.24228|6
B|75|ADORWELD|EQ|09:01:14|1536.96318|7
S|76|ADORWELD|EQ|09:01:15|1501.95939|5
B|77|ADORWELD|EQ|09:01:16|1514.14035|6
S|78|ADORWELD|EQ|09:01:17|1506.00983|2
B|79|ADORWELD|EQ|09:01:18|1514.80701|4
B|80|ADORWELD|EQ|09:01:19|1505.93639|1
S|81|ADORWELD|EQ|09:01:20|1515.89916|6
S|82|ADORWELD|EQ|09:01:21|1520.71315|2
B|83|ADORWELD|EQ|09:01:22|1503.20737|1
